[2022-10-07 03:28:43.088] [exthost] [info] Extension host with pid 6625 started
[2022-10-07 03:28:43.092] [exthost] [error] Error: EEXIST: file already exists, open '/root/.vscode-server/data/User/workspaceStorage/e97aa1ac7cb2a0bf95ed5220ee3cb280/vscode.lock'
[2022-10-07 03:28:43.104] [exthost] [info] Lock '/root/.vscode-server/data/User/workspaceStorage/e97aa1ac7cb2a0bf95ed5220ee3cb280/vscode.lock': Could not acquire lock, checking if the file is stale.
[2022-10-07 03:28:43.105] [exthost] [info] Lock '/root/.vscode-server/data/User/workspaceStorage/e97aa1ac7cb2a0bf95ed5220ee3cb280/vscode.lock': The pid 2772 appears to be gone.
[2022-10-07 03:28:43.105] [exthost] [info] Lock '/root/.vscode-server/data/User/workspaceStorage/e97aa1ac7cb2a0bf95ed5220ee3cb280/vscode.lock': Deleting a stale lock.
[2022-10-07 03:28:43.119] [exthost] [info] Lock '/root/.vscode-server/data/User/workspaceStorage/e97aa1ac7cb2a0bf95ed5220ee3cb280/vscode.lock': Lock acquired.
[2022-10-07 03:28:43.412] [exthost] [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:javascript'
[2022-10-07 03:28:43.749] [exthost] [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: true, activationEvent: '*'
[2022-10-07 03:28:43.781] [exthost] [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
[2022-10-07 03:28:43.799] [exthost] [info] ExtensionService#_doActivateExtension vscode.ipynb, startup: true, activationEvent: '*'
[2022-10-07 03:28:44.461] [exthost] [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
[2022-10-07 03:28:45.326] [exthost] [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
[2022-10-07 03:28:46.501] [exthost] [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onStartupFinished'
[2022-10-07 03:28:46.632] [exthost] [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
[2022-10-07 03:28:46.656] [exthost] [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onStartupFinished', root cause: esbenp.prettier-vscode
[2022-10-07 03:28:46.875] [exthost] [info] Eager extensions activated
[2022-10-07 03:28:50.565] [exthost] [info] ExtensionService#_doActivateExtension esbenp.prettier-vscode, startup: false, activationEvent: 'onStartupFinished'
[2022-10-07 03:33:40.879] [exthost] [info] ExtensionService#_doActivateExtension vscode.debug-server-ready, startup: false, activationEvent: 'onDebugResolve'
[2022-10-07 03:33:40.887] [exthost] [info] ExtensionService#_doActivateExtension ms-vscode.js-debug, startup: false, activationEvent: 'onDebugResolve:pwa-node'
[2022-10-07 03:47:48.047] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: Could not switch to '/root/.vscode-server/data/logs/20220923T031257/': No such file or directory\n","exitCode":128}
[2022-10-07 03:47:48.047] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: Could not switch to '/root/.vscode-server/data/logs/20220923T031257/': No such file or directory\n","exitCode":128}
[2022-10-07 03:47:48.047] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: Could not switch to '/root/.vscode-server/data/logs/20220923T031257/': No such file or directory\n","exitCode":128}
[2022-10-07 03:47:48.047] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: Could not switch to '/root/.vscode-server/data/logs/20220923T031257/': No such file or directory\n","exitCode":128}
[2022-10-07 03:47:48.047] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: Could not switch to '/root/.vscode-server/data/logs/20220923T031257/': No such file or directory\n","exitCode":128}
[2022-10-07 03:47:48.047] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: Could not switch to '/root/.vscode-server/data/logs/20220923T031257/': No such file or directory\n","exitCode":128}
[2022-10-07 03:47:48.047] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: Could not switch to '/root/.vscode-server/data/logs/20220923T031257/': No such file or directory\n","exitCode":128}
[2022-10-07 03:47:48.047] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: Could not switch to '/root/.vscode-server/data/logs/20220923T031257/': No such file or directory\n","exitCode":128}
[2022-10-07 03:47:48.047] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: Could not switch to '/root/.vscode-server/data/logs/20220923T031257/': No such file or directory\n","exitCode":128}
